Case #1: 861
14 22 114015
14 23 1000000
14 24 18755
14 25 1000000
14 26 1000000
14 27 90955
14 28 1000000
14 29 1000000
14 30 138517
14 31 213878
14 32 1000000
14 33 135703
14 34 114615
14 35 1000000
14 36 132536
14 37 100883
14 38 108307
14 39 94054
14 40 159372
14 41 50117
14 42 173962
15 16 1000000
15 17 1000000
15 18 92192
15 19 140261
15 20 54356
15 21 1000000
15 22 189260
15 23 99811
15 24 94000
15 25 1000000
15 26 114984
15 27 96201
15 28 139408
15 29 23650
15 30 25762
15 31 1000000
15 32 86080
15 33 1000000
15 34 141169
15 35 54118
15 36 1000000
15 37 127437
15 38 42852
15 39 93102
15 40 1000000
15 41 1000000
15 42 108507
16 17 188611
16 18 114542
16 19 78614
16 20 1000000
16 21 1000000
16 22 108630
16 23 1000000
16 24 1000000
16 25 1000000
16 26 1000000
16 27 12234
16 28 132867
16 29 1000000
16 30 1000000
16 31 131668
16 32 28626
16 33 1000000
16 34 49861
16 35 37190
16 36 53815
16 37 36129
16 38 1000000
16 39 9135
16 40 1000000
16 41 59036
16 42 1000000
17 18 145521
17 19 1000000
17 20 151659
17 21 155464
17 22 1000000
17 23 197114
17 24 137768
17 25 1000000
17 26 212287
17 27 193504
17 28 1000000
17 29 120953
17 30 115037
17 31 1000000
17 32 183383
17 33 20820
17 34 220002
17 35 151421
17 36 235085
17 37 1000000
17 38 140155
17 39 190405
17 40 158089
17 41 169130
17 42 1000000
18 19 94894
18 20 99248
18 21 1000000
18 22 171966
18 23 130386
18 24 1000000
18 25 253296
18 26 125273
18 27 1000000
18 28 1000000
18 29 68542
18 30 117954
18 31 205460
18 32 125989
18 33 124701
18 34 164403
18 35 1000000
18 36 1000000
18 37 150671
18 38 87744
18 39 1000000
18 40 74456
18 41 1000000
18 42 1000000
19 20 1000000
19 21 1000000
19 22 1000000
19 23 94458
19 24 163048
19 25 1000000
19 26 1000000
19 27 1000000
19 28 1000000
19 29 116611
19 30 129819
19 31 151458
19 32 107240
19 33 1000000
19 34 128475
19 35 86143
19 36 1000000
19 37 114743
19 38 97409
19 39 87749
19 40 20454
19 41 1000000
19 42 81817
20 21 3805
20 22 1000000
20 23 64905
20 24 1000000
20 25 1000000
20 26 1000000
20 27 68515
20 28 136802
20 29 30706
20 30 80118
20 31 112836
20 32 1000000
20 33 142117
20 34 110211
20 35 1000000
20 36 110096
20 37 1000000
20 38 1000000
20 39 1000000
20 40 79909
20 41 61187
20 42 115563
21 22 153886
21 23 61100
21 24 1000000
21 25 180291
21 26 1000000
21 27 1000000
21 28 1000000
21 29 34511
21 30 1000000
21 31 1000000
21 32 27919
21 33 138312
21 34 106406
21 35 1000000
21 36 106291
21 37 1000000
21 38 53713
21 39 65680
21 40 83714
21 41 57382
21 42 119368
22 23 92786
22 24 95260
22 25 322638
22 26 1000000
22 27 1000000
22 28 231663
22 29 165610
22 30 1000000
22 31 240298
22 32 1000000
22 33 208378
22 34 155860
22 35 1000000
22 36 137977
22 37 1000000
22 38 1000000
22 39 99495
22 40 174142
22 41 1000000
22 42 1000000
23 24 68590
23 25 229852
23 26 102107
23 27 3610
23 28 138877
23 29 76161
23 30 125573
23 31 147512
23 32 33181
23 33 1000000
23 34 65705
23 35 53034
23 36 45191
23 37 1000000
23 38 64300
23 39 1000000
23 40 81356
23 41 1000000
23 42 132849
24 25 255104
24 26 83057
24 27 72200
24 28 161352
24 29 1000000
24 30 119762
24 31 1000000
24 32 101771
24 33 116948
24 34 1000000
24 35 1000000
24 36 113781
24 37 119638
24 38 1000000
24 39 75299
24 40 1000000
24 41 31362
24 42 1000000
25 26 207895
25 27 226242
25 28 283306
25 29 184754
25 30 1000000
25 31 296932
25 32 208210
25 33 294547
25 34 1000000
25 35 176818
25 36 1000000
25 37 1000000
25 38 165552
25 39 1000000
25 40 219991
25 41 1000000
25 42 1000000
26 27 98497
26 28 207092
26 29 91334
26 30 140746
26 31 1000000
26 32 135288
26 33 1000000
26 34 1000000
26 35 95986
26 36 1000000
26 37 83472
26 38 84720
26 39 1000000
26 40 1000000
26 41 51695
26 42 175801
27 28 1000000
27 29 1000000
27 30 1000000
27 31 143902
27 32 36791
27 33 189148
27 34 62095
27 35 49424
27 36 41581
27 37 48363
27 38 60690
27 39 1000000
27 40 1000000
27 41 46802
27 42 129239
28 29 115758
28 30 165170
28 31 1000000
28 32 1000000
28 33 215548
28 34 182728
28 35 1000000
28 36 1000000
28 37 1000000
28 38 134322
28 39 1000000
28 40 1000000
28 41 170336
28 42 128734
29 30 49412
29 31 143542
29 32 62430
29 33 141773
29 34 117519
29 35 30468
29 36 1000000
29 37 103787
29 38 1000000
29 39 69452
29 40 110615
29 41 1000000
29 42 84857
30 31 1000000
30 32 111842
30 33 1000000
30 34 1000000
30 35 1000000
30 36 1000000
30 37 153199
30 38 1000000
30 39 118864
30 40 1000000
30 41 141305
30 42 1000000
31 32 1000000
31 33 1000000
31 34 1000000
31 35 168858
31 36 1000000
31 37 167797
31 38 162744
31 39 1000000
31 40 131004
31 41 174023
31 42 188786
32 33 166231
32 34 78487
32 35 1000000
32 36 1000000
32 37 1000000
32 38 77082
32 39 37761
32 40 94138
32 41 1000000
32 42 145631
33 34 1000000
33 35 1000000
33 36 230729
33 37 1000000
33 38 158699
33 39 192247
33 40 178909
33 41 1000000
33 42 1000000
34 35 87051
34 36 103676
34 37 13732
34 38 98317
34 39 58996
34 40 115373
34 41 1000000
34 42 1000000
35 36 1000000
35 37 73319
35 38 1000000
35 39 46325
35 40 102702
35 41 1000000
35 42 79815
36 37 89944
36 38 1000000
36 39 44680
36 40 1000000
36 41 88383
36 42 1000000
37 38 84585
37 39 45264
37 40 101641
37 41 95165
37 42 153134
38 39 1000000
38 40 113968
38 41 75275
38 42 91081
39 40 74647
39 41 1000000
39 42 126140
40 41 1000000
40 42 1000000
41 42 166356
Case #2: 120
1 2 1000000
1 3 1000000
1 4 1000000
1 5 1000000
1 6 1000000
1 7 1000000
1 8 1000000
1 9 1000000
1 10 483827
1 11 574262
1 12 450434
1 13 1000000
1 14 502041
1 15 1000000
1 16 1000000
2 3 1000000
2 4 350972
2 5 421491
2 6 217473
2 7 1000000
2 8 1000000
2 9 1000000
2 10 269167
2 11 481271
2 12 519114
2 13 1000000
2 14 539940
2 15 1000000
2 16 1000000
3 4 1000000
3 5 1000000
3 6 556214
3 7 1000000
3 8 1000000
3 9 127323
3 10 1000000
3 11 267591
3 12 459751
3 13 1000000
3 14 1000000
3 15 128506
3 16 1000000
4 5 1000000
4 6 1000000
4 7 1000000
4 8 1000000
4 9 1000000
4 10 1000000
4 11 1000000
4 12 1000000
4 13 1000000
4 14 272452
4 15 1000000
4 16 413509
5 6 1000000
5 7 1000000
5 8 1000000
5 9 1000000
5 10 1000000
5 11 539481
5 12 1000000
5 13 280851
5 14 136730
5 15 451813
5 16 1000000
6 7 633112
6 8 1000000
6 9 428891
6 10 1000000
6 11 1000000
6 12 1000000
6 13 1000000
6 14 1000000
6 15 510315
6 16 1000000
7 8 300788
7 9 440985
7 10 1000000
7 11 1000000
7 12 510672
7 13 399860
7 14 531498
7 15 1000000
7 16 1000000
8 9 1000000
8 10 40063
8 11 1000000
8 12 209884
8 13 328563
8 14 1000000
8 15 177991
8 16 1000000
9 10 1000000
9 11 1000000
9 12 1000000
9 13 1000000
9 14 1000000
9 15 255829
9 16 1000000
10 11 1000000
10 12 1000000
10 13 1000000
10 14 270773
10 15 1000000
10 16 411830
11 12 381925
11 13 1000000
11 14 1000000
11 15 1000000
11 16 1000000
12 13 118679
12 14 1000000
12 15 1000000
12 16 1000000
13 14 1000000
13 15 1000000
13 16 1000000
14 15 1000000
14 16 1000000
15 16 447486
Case #3: 903
1 2 1000000
1 3 1000000
1 4 257146
1 5 232767
1 6 1000000
1 7 177038
1 8 1000000
1 9 260628
1 10 1000000
1 11 184390
1 12 1000000
1 13 1000000
1 14 1000000
1 15 1000000
1 16 292089
1 17 1000000
1 18 274938
1 19 1000000
1 20 1000000
1 21 1000000
1 22 176908
1 23 1000000
1 24 210545
1 25 1000000
1 26 1000000
1 27 199343
1 28 1000000
1 29 1000000
1 30 232425
1 31 1000000
1 32 1000000
1 33 1000000
1 34 1000000
1 35 1000000
1 36 1000000
1 37 288648
1 38 188029
1 39 1000000
1 40 1000000
1 41 282189
1 42 1000000
1 43 1000000
2 3 1000000
2 4 1000000
2 5 1000000
2 6 1000000
2 7 1000000
2 8 1000000
2 9 142520
2 10 1000000
2 11 1000000
2 12 1000000
2 13 319784
2 14 1000000
2 15 1000000
2 16 1000000
2 17 1000000
2 18 154437
2 19 1000000
2 20 150112
2 21 166883
2 22 1000000
2 23 1000000
2 24 1000000
2 25 1000000
2 26 1000000
2 27 1000000
2 28 1000000
2 29 1000000
2 30 1000000
2 31 1000000
2 32 212045
2 33 55559
2 34 1000000
2 35 1000000
2 36 1000000
2 37 1000000
2 38 1000000
2 39 1000000
2 40 1000000
2 41 1000000
2 42 105697
2 43 1000000
3 4 1000000
3 5 1000000
3 6 212597
3 7 191596
3 8 1000000
3 9 1000000
3 10 1000000
3 11 190595
3 12 169488
3 13 1000000
3 14 229656
3 15 1000000
3 16 1000000
3 17 1000000
3 18 157392
3 19 1000000
3 20 1000000
3 21 41644
3 22 236714
3 23 1000000
3 24 231711
3 25 1000000
3 26 1000000
3 27 1000000
3 28 246941
3 29 1000000
3 30 246983
3 31 1000000
3 32 1000000
3 33 1000000
3 34 1000000
3 35 1000000
3 36 1000000
3 37 1000000
3 38 1000000
3 39 212889
3 40 1000000
3 41 241144
3 42 1000000
3 43 1000000
4 5 1000000
4 6 1000000
4 7 1000000
4 8 1000000
4 9 1000000
4 10 1000000
4 11 186664
4 12 1000000
4 13 1000000
4 14 1000000
4 15 110197
4 16 1000000
4 17 1000000
4 18 1000000
4 19 344551
4 20 104743
4 21 1000000
4 22 1000000
4 23 1000000
4 24 1000000
4 25 194111
4 26 1000000
4 27 1000000
4 28 1000000
4 29 200290
4 30 1000000
4 31 1000000
4 32 1000000
4 33 1000000
4 34 1000000
4 35 1000000
4 36 1000000
4 37 1000000
4 38 1000000
4 39 1000000
4 40 118564
4 41 1000000
4 42 1000000
4 43 1000000
5 6 89811
5 7 1000000
5 8 1000000
5 9 1000000
5 10 1000000
5 11 1000000
5 12 251199
5 13 1000000
5 14 1000000
5 15 1000000
5 16 1000000
5 17 1000000
5 18 1000000
5 19 333253
5 20 1000000
5 21 1000000
5 22 193608
5 23 1000000
5 24 52164
5 25 1000000
5 26 231724
5 27 189597
5 28 1000000
5 29 1000000
5 30 1000000
5 31 184851
5 32 159314
5 33 1000000
5 34 1000000
5 35 1000000
5 36 1000000
5 37 1000000
5 38 1000000
5 39 181980
5 40 126630
5 41 1000000
5 42 219616
5 43 1000000
6 7 21001
6 8 147042
6 9 1000000
6 10 1000000
6 11 1000000
6 12 1000000
6 13 1000000
6 14 1000000
6 15 1000000
6 16 1000000
6 17 273277
6 18 1000000
6 19 1000000
6 20 1000000
6 21 1000000
6 22 145799
6 23 1000000
6 24 141975
6 25 63024
6 26 1000000
6 27 141788
6 28 245677
6 29 47109
6 30 1000000
6 31 1000000
6 32 1000000
6 33 1000000
6 34 1000000
6 35 1000000
6 36 1000000
6 37 1000000
6 38 1000000
6 39 1000000
6 40 1000000
6 41 1000000
6 42 193586
6 43 1000000
7 8 1000000
7 9 1000000
7 10 114310
7 11 1000000
7 12 261740
7 13 1000000
7 14 1000000
7 15 1000000
7 16 1000000
7 17 260419
7 18 1000000
7 19 1000000
7 20 1000000
7 21 149952
7 22 1000000
7 23 1000000
7 24 1000000
7 25 1000000
7 26 196805
7 27 120787
7 28 1000000
7 29 1000000
7 30 1000000
7 31 1000000
7 32 1000000
7 33 1000000
7 34 1000000
7 35 1000000
7 36 1000000
7 37 1000000
7 38 1000000
7 39 1000000
7 40 1000000
7 41 1000000
7 42 172585
7 43 1000000
8 9 1000000
8 10 132611
8 11 1000000
8 12 1000000
8 13 1000000
8 14 1000000
8 15 1000000
8 16 244445
8 17 1000000
8 18 1000000
8 19 338412
8 20 1000000
8 21 1000000
8 22 1000000
8 23 1000000
8 24 109021
8 25 187972
8 26 70539
8 27 1000000
8 28 1000000
8 29 1000000
8 30 137815
8 31 1000000
8 32 195638
8 33 1000000
8 34 1000000
8 35 15051
8 36 1000000
8 37 1000000
8 38 1000000
8 39 90199
8 40 1000000
8 41 1000000
8 42 1000000
8 43 1000000
9 10 1000000
9 11 1000000
9 12 1000000
9 13 1000000
9 14 1000000
9 15 1000000
9 16 197212
9 17 1000000
9 18 1000000
9 19 1000000
9 20 1000000
9 21 1000000
9 22 1000000
9 23 130892
9 24 130629
9 25 1000000
9 26 1000000
9 27 1000000
9 28 1000000
9 29 1000000
9 30 159423
9 31 1000000
9 32 1000000
9 33 170762
9 34 1000000
9 35 106063
9 36 1000000
9 37 149494
9 38 1000000
9 39 1000000
9 40 1000000
9 41 1000000
9 42 1000000
9 43 216057
10 11 1000000
10 12 1000000
10 13 1000000
10 14 1000000
10 15 1000000
10 16 1000000
10 17 261827
10 18 1000000
10 19 1000000
10 20 1000000
10 21 208717
10 22 1000000
10 23 1000000
10 24 151238
10 25 72287
10 26 1000000
10 27 184275
10 28 1000000
10 29 143410
10 30 1000000
10 31 1000000
10 32 1000000
10 33 1000000
10 34 197198
10 35 147662
10 36 1000000
10 37 1000000
10 38 1000000
10 39 1000000
10 40 1000000
10 41 184634
10 42 1000000
10 43 134789
11 12 1000000
11 13 1000000
11 14 39061
11 15 93572
11 16 1000000
11 17 101009
11 18 1000000
11 19 1000000
11 20 1000000
11 21 1000000
11 22 1000000
11 23 1000000
11 24 1000000
11 25 1000000
11 26 1000000
11 27 1000000
11 28 1000000
11 29 1000000
11 30 1000000
11 31 1000000
11 32 1000000
11 33 260275
11 34 1000000
11 35 1000000
11 36 184580
11 37 1000000
11 38 155493
11 39 1000000
11 40 1000000
11 41 1000000
11 42 126336
11 43 1000000
12 13 1000000
12 14 1000000
12 15 1000000
12 16 1000000
12 17 258928
12 18 1000000
12 19 401255
12 20 1000000
12 21 1000000
12 22 261610
12 23 1000000
12 24 199035
12 25 277986
12 26 1000000
12 27 1000000
12 28 1000000
12 29 1000000
12 30 1000000
12 31 1000000
12 32 260872
12 33 1000000
12 34 1000000
12 35 1000000
12 36 199276
12 37 1000000
12 38 271413
12 39 1000000
12 40 1000000
12 41 1000000
12 42 1000000
12 43 284463
13 14 1000000
13 15 1000000
13 16 401389
13 17 1000000
13 18 346571
13 19 1000000
13 20 1000000
13 21 1000000
13 22 1000000
13 23 322865
13 24 1000000
13 25 243202
13 26 359625
13 27 273897
13 28 429498
13 29 1000000
13 30 321974
13 31 1000000
13 32 1000000
13 33 1000000
13 34 1000000
13 35 1000000
13 36 282206
13 37 266305
13 38 1000000
13 39 1000000
13 40 355595
13 41 1000000
13 42 1000000
13 43 1000000
14 15 1000000
14 16 1000000
14 17 140070
14 18 123867
14 19 1000000
14 20 1000000
14 21 1000000
14 22 1000000
14 23 1000000
14 24 1000000
14 25 1000000
14 26 1000000
14 27 145385
14 28 233575
14 29 1000000
14 30 1000000
14 31 1000000
14 32 1000000
14 33 222844
14 34 206892
14 35 1000000
14 36 145519
14 37 1000000
14 38 1000000
14 39 1000000
14 40 1000000
14 41 1000000
14 42 165397
14 43 1000000
15 16 188527
15 17 194581
15 18 1000000
15 19 1000000
15 20 133258
15 21 209632
15 22 1000000
15 23 52193
15 24 4963
15 25 83914
15 26 1000000
15 27 155722
15 28 1000000
15 29 1000000
15 30 1000000
15 31 164685
15 32 112113
15 33 1000000
15 34 167801
15 35 119109
15 36 91008
15 37 1000000
15 38 1000000
15 39 124853
15 40 1000000
15 41 156081
15 42 1000000
15 43 1000000
16 17 1000000
16 18 1000000
16 19 1000000
16 20 1000000
16 21 1000000
16 22 1000000
16 23 149078
16 24 1000000
16 25 158187
16 26 173906
16 27 1000000
16 28 1000000
16 29 1000000
16 30 255597
16 31 1000000
16 32 1000000
16 33 1000000
16 34 283098
16 35 1000000
16 36 1000000
16 37 1000000
16 38 1000000
16 39 309019
16 40 1000000
16 41 339420
16 42 1000000
16 43 1000000
17 18 202714
17 19 1000000
17 20 1000000
17 21 1000000
17 22 1000000
17 23 1000000
17 24 1000000
17 25 1000000
17 26 1000000
17 27 1000000
17 28 1000000
17 29 1000000
17 30 1000000
17 31 1000000
17 32 1000000
17 33 159991
17 34 1000000
17 35 1000000
17 36 1000000
17 37 1000000
17 38 234321
17 39 1000000
17 40 1000000
17 41 1000000
17 42 1000000
17 43 1000000
18 19 362343
18 20 1000000
18 21 1000000
18 22 192006
18 23 121549
18 24 74319
18 25 1000000
18 26 1000000
18 27 1000000
18 28 1000000
18 29 183369
18 30 1000000
18 31 1000000
18 32 181469
18 33 1000000
18 34 1000000
18 35 1000000
18 36 1000000
18 37 1000000
18 38 1000000
18 39 1000000
18 40 1000000
18 41 1000000
18 42 1000000
18 43 1000000
19 20 1000000
19 21 1000000
19 22 1000000
19 23 1000000
19 24 297950
19 25 1000000
19 26 1000000
19 27 1000000
19 28 421980
19 29 1000000
19 30 319830
19 31 1000000
19 32 1000000
19 33 1000000
19 34 1000000
19 35 1000000
19 36 1000000
19 37 376053
19 38 1000000
19 39 400822
19 40 1000000
19 41 369594
19 42 1000000
19 43 1000000
20 21 1000000
20 22 1000000
20 23 1000000
20 24 1000000
20 25 217172
20 26 1000000
20 27 146541
20 28 1000000
20 29 1000000
20 30 1000000
20 31 1000000
20 32 1000000
20 33 1000000
20 34 1000000
20 35 1000000
20 36 1000000
20 37 1000000
20 38 1000000
20 39 1000000
20 40 202761
20 41 1000000
20 42 44415
20 43 1000000
21 22 274750
21 23 1000000
21 24 1000000
21 25 1000000
21 26 1000000
21 27 1000000
21 28 1000000
21 29 1000000
21 30 1000000
21 31 1000000
21 32 1000000
21 33 1000000
21 34 1000000
21 35 229227
21 36 1000000
21 37 1000000
21 38 207788
21 39 1000000
21 40 279135
21 41 268394
21 42 1000000
21 43 1000000
22 23 1000000
22 24 1000000
22 25 1000000
22 26 1000000
22 27 1000000
22 28 282335
22 29 1000000
22 30 1000000
22 31 1000000
22 32 1000000
22 33 1000000
22 34 1000000
22 35 183716
22 36 1000000
22 37 1000000
22 38 1000000
22 39 136509
22 40 1000000
22 41 1000000
22 42 172455
22 43 1000000
23 24 1000000
23 25 1000000
23 26 1000000
23 27 1000000
23 28 235893
23 29 1000000
23 30 1000000
23 31 1000000
23 32 1000000
23 33 1000000
23 34 1000000
23 35 171302
23 36 1000000
23 37 1000000
23 38 114114
23 39 1000000
23 40 1000000
23 41 208274
23 42 1000000
23 43 167923
24 25 1000000
24 26 1000000
24 27 160685
24 28 1000000
24 29 1000000
24 30 1000000
24 31 1000000
24 32 1000000
24 33 1000000
24 34 162838
24 35 1000000
24 36 95971
24 37 167503
24 38 1000000
24 39 1000000
24 40 1000000
24 41 161044
24 42 1000000
24 43 1000000
25 26 1000000
25 27 162810
25 28 1000000
25 29 1000000
25 30 1000000
25 31 1000000
25 32 1000000
25 33 1000000
25 34 1000000
25 35 1000000
25 36 1000000
25 37 1000000
25 38 34451
25 39 1000000
25 40 1000000
25 41 1000000
25 42 1000000
25 43 1000000
26 27 1000000
26 28 1000000
26 29 222913
26 30 208354
26 31 1000000
26 32 236075
26 33 1000000
26 34 241334
26 35 1000000
26 36 1000000
26 37 198425
26 38 223583
26 39 1000000
26 40 1000000
26 41 1000000
26 42 1000000
26 43 1000000
27 28 1000000
27 29 1000000
27 30 176174
27 31 1000000
27 32 1000000
27 33 1000000
27 34 1000000
27 35 1000000
27 36 1000000
27 37 1000000
27 38 1000000
27 39 141863
27 40 176367
27 41 1000000
27 42 1000000
27 43 1000000
28 29 1000000
28 30 1000000
28 31 1000000
28 32 305948
28 33 285604
28 34 311207
28 35 1000000
28 36 1000000
28 37 1000000
28 38 1000000
28 39 1000000
28 40 1000000
28 41 1000000
28 42 1000000
28 43 1000000
29 30 1000000
29 31 183804
29 32 1000000
29 33 1000000
29 34 1000000
29 35 1000000
29 36 110127
29 37 1000000
29 38 36672
29 39 1000000
29 40 1000000
29 41 127322
29 42 1000000
29 43 1000000
30 31 187266
30 32 1000000
30 33 1000000
30 34 1000000
30 35 152866
30 36 117851
30 37 1000000
30 38 1000000
30 39 1000000
30 40 1000000
30 41 189838
30 42 196246
30 43 1000000
31 32 1000000
31 33 1000000
31 34 144514
31 35 47705
31 36 73677
31 37 1000000
31 38 1000000
31 39 1000000
31 40 1000000
31 41 1000000
31 42 1000000
31 43 1000000
32 33 1000000
32 34 1000000
32 35 1000000
32 36 1000000
32 37 1000000
32 38 1000000
32 39 1000000
32 40 1000000
32 41 218057
32 42 203422
32 43 1000000
33 34 257052
33 35 1000000
33 36 1000000
33 37 1000000
33 38 1000000
33 39 265493
33 40 1000000
33 41 1000000
33 42 133939
33 43 185252
34 35 1000000
34 36 1000000
34 37 1000000
34 38 1000000
34 39 266692
34 40 237304
